State,&,(,),*,+,",",-,.,/,;,<,=,>,EOF,[,],boolean,char,class,constructor,do,else,false,field,function,identifier,if,int,integerConstant,let,method,null,return,static,stringConstant,this,true,var,void,while,{,|,},~,ClassName,ClassVarDec,ClassVarDecList,DoStatement,ElsePart,Expression,ExpressionList,IfHeader,IfStatement,KeywordConstant,LetStatement,Operation,ParameterList,ReturnStatement,ReturnType,S,Statement,StatementsList,SubroutineBody,SubroutineCall,SubroutineDec,SubroutineDecList,SubroutineName,Term,Type,TypedVarNameList,UnaryOperation,UnaryOperationList,VarDeclaration,VarDeclarationList,VarName,VarNameList,WhileHeader,WhileStatement
95,R80,,R80,R80,R80,R80,R80,,R80,R80,R80,R80,R80,,,R80,,,,,,,,,,,,,,,,,,,,,,,,,,R80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,S35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,127,,
97,,,,,,,,,,S128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,S123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,S60,,,,,,S68,,,S67,,,S58,,,,,,,S73,,,S130,,,,,56,,,,66,57,,64,,,72,,,71,129,,,,,,,,,,,,,,,62,69
100,,,,,,,,,,,,,,,,,,,,R31,,,,,R31,,,,,,R31,,,,,,,,,,,,R31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,R37,,,,,,R37,,,R37,,,R37,,,,,,,R37,,,R37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,R34,,,,,,R34,,,R34,,,R34,,,,,R34,,R34,,,R34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,S60,,,,,,S68,,,S67,,,S58,,,,,,,S73,,,S131,,,,,56,,,,66,57,,64,,,72,,,101,,,,,,,,,,,,,,,,62,69
104,,,,,,,,,,,,,,,,,,,,R30,,,,,R30,,,,,,R30,,,,,,,,,,,,R30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,S60,,,,,,S68,,,S67,,,S58,,,,,,,S73,,,S133,,,,,56,,,,66,57,,64,,,72,,,71,132,,,,,,,,,,,,,,,62,69
106,,,,,,,,,,,,S135,,,S134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,S94,,,,,S86,,,,,,,,,,,,,,,,S81,,,S91,,,S90,,,S92,,,S84,S95,S79,,,,,,,S77,,,,,,136,,,,87,,,,,,,,,,80,,,83,93,,,88,89,,,85,,,
108,,S94,,,,,S86,,,,,,,,,,,,,,,,S81,,,S91,,,S90,,,S92,,,S84,S95,S79,,,,,,,S77,,,,,,137,,,,87,,,,,,,,,,80,,,83,93,,,88,89,,,85,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,S35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,
110,,R87,,,,,R87,,,,,,,,,,,,,,,,R87,,,R87,,,R87,,,R87,,,R87,R87,R87,,,,,,,R87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,R89,,,,,R89,,,,,,,,,,,,,,,,R89,,,R89,,,R89,,,R89,,,R89,R89,R89,,,,,,,R89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,R57,,,,,,R57,,,R57,,,R57,,,,,,,R57,,,R57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,S94,,,,,S86,,,,,,,,,,,,,,,,S81,,,S91,,,S90,,,S92,,,S84,S95,S79,,,,,,,S77,,,,,,,,,,87,,,,,,,,,,80,,,83,139,,,88,140,,,85,,,
114,,R86,,,,,R86,,,,,,,,,,,,,,,,R86,,,R86,,,R86,,,R86,,,R86,R86,R86,,,,,,,R86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,R85,,,,,R85,,,,,,,,,,,,,,,,R85,,,R85,,,R85,,,R85,,,R85,R85,R85,,,,,,,R85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,R83,,,,,R83,,,,,,,,,,,,,,,,R83,,,R83,,,R83,,,R83,,,R83,R83,R83,,,,,,,R83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,R88,,,,,R88,,,,,,,,,,,,,,,,R88,,,R88,,,R88,,,R88,,,R88,R88,R88,,,,,,,R88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,R91,,,,,R91,,,,,,,,,,,,,,,,R91,,,R91,,,R91,,,R91,,,R91,R91,R91,,,,,,,R91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,R90,,,,,R90,,,,,,,,,,,,,,,,R90,,,R90,,,R90,,,R90,,,R90,R90,R90,,,,,,,R90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
